rep	time	treatment	embryo	endosperm	ratio
rep1	98	0C	1.37	3.23	0.424148607
rep2	98	0C	0.68	3.26	0.208588957
rep3	98	0C	0.84	3.14	0.267515924
rep4	98	0C	0.98	3.37	0.290801187
rep5	98	0C	1.28	3.1	0.412903226
rep6	98	0C	1.84	3.24	0.567901235
rep7	98	0C	0.94	3.07	0.306188925
rep8	98	0C	1.47	3.88	0.378865979
rep9	98	0C	0.92	3.92	0.234693878
rep10	98	0C	1.2	3.14	0.382165605
rep1	98	2.5C	2.5	3.12	0.801282051
rep2	98	2.5C	1.91	2.91	0.656357388
rep3	98	2.5C	2.39	3.59	0.665738162
rep4	98	2.5C	2.6	3.84	0.677083333
rep5	98	2.5C	1.84	3.51	0.524216524
rep6	98	2.5C	1.78	2.77	0.642599278
rep7	98	2.5C	0.51	3.41	0.149560117
rep8	98	2.5C	2.26	3.46	0.653179191
rep9	98	2.5C	1.78	3.99	0.446115288
rep10	98	2.5C	2.31	4.09	0.564792176
rep1	98	5C	1.61	2.81	0.572953737
rep2	98	5C	3.06	3.81	0.803149606
rep3	98	5C	2.89	3.61	0.800554017
rep4	98	5C	1.88	3.33	0.564564565
rep5	98	5C	2.13	3.99	0.533834586
rep6	98	5C	2.02	3.3	0.612121212
rep7	98	5C	2.26	3.72	0.607526882
rep8	98	5C	2.92	3.37	0.866468843
rep9	98	5C	2.43	3.2	0.759375
rep10	98	5C	2.54	3.68	0.690217391
rep1	98	7.5C	1.63	3.45	0.472463768
rep2	98	7.5C	1.62	3.74	0.43315508
rep3	98	7.5C	1.37	3.47	0.39481268
rep4	98	7.5C	1.25	4.36	0.286697248
rep5	98	7.5C	1.53	2.98	0.513422819
rep6	98	7.5C	1.35	3.69	0.365853659
rep7	98	7.5C	0.98	2.68	0.365671642
rep8	98	7.5C	1.9	2.94	0.646258503
rep9	98	7.5C	1.37	3.78	0.362433862
rep10	98	7.5C	1.18	2.64	0.446969697
rep1	98	10C	1.18	3.63	0.325068871
rep2	98	10C	1.08	4.17	0.258992806
rep3	98	10C	1.19	3.61	0.329639889
rep4	98	10C	0.77	3.38	0.227810651
rep5	98	10C	1.18	3.76	0.313829787
rep6	98	10C	0.91	3.53	0.257790368
rep7	98	10C	1.07	3.65	0.293150685
rep8	98	10C	1.12	3.25	0.344615385
rep9	98	10C	0.93	3.53	0.263456091
rep10	98	10C	1.86	3.7	0.502702703
rep1	98	dark	2.37	3.46	0.684971098
rep2	98	dark	2.73	3.04	0.898026316
rep3	98	dark	1.8	3.97	0.453400504
rep4	98	dark	1.21	3.94	0.307106599
rep5	98	dark	1.98	4.28	0.462616822
rep6	98	dark	0.95	4.16	0.228365385
rep7	98	dark	2.2	3.6	0.611111111
rep8	98	dark	3.23	3.73	0.865951743
rep9	98	dark	2.26	3.69	0.612466125
rep10	98	dark	1.29	4.07	0.316953317
rep1	112	m2.5C	0.87	3.24	0.268518519
rep2	112	m2.5C	0.33	4.07	0.081081081
rep3	112	m2.5C	0.52	3.31	0.157099698
rep4	112	m2.5C	0.59	3.73	0.158176944
rep5	112	m2.5C	0.51	3.13	0.162939297
rep6	112	m2.5C	0.42	3.75	0.112
rep7	112	m2.5C	0.36	2.71	0.132841328
rep8	112	m2.5C	0.65	3.77	0.172413793
rep9	112	m2.5C	0.62	3.13	0.198083067
rep10	112	m2.5C	0.23	2.8	0.082142857
rep1	112	0C	1.61	3.89	0.413881748
rep2	112	0C	2.16	2.98	0.724832215
rep3	112	0C	0.75	3.32	0.225903614
rep4	112	0C	1.66	3.25	0.510769231
rep5	112	0C	2.78	3.35	0.829850746
rep6	112	0C	2.14	4	0.535
rep7	112	0C	1.6	2.8	0.571428571
